"","A.t1_rep2","A.t2_rep2","A.t3_rep2","A.t4_rep2","A.t5_rep2","A.t6_rep2","B.t1_rep2","B.t2_rep2","B.t3_rep2","B.t4_rep2","B.t5_rep2","B.t6_rep2"
"YBR153W",2565,2495,2575,2570,2665,2080,1765,1910,2045,1990,1875,1720
"YBR154C",5325,6270,5860,6150,5470,6425,5205,5860,6025,6050,4525,5160
"YBR155W",1615,1695,1760,1955,1665,1780,1180,1330,1115,1305,1075,1470
"YBR156C",2450,2235,2455,2255,2495,2350,1340,980,1120,1570,1145,1360
"YBR157C",2310,2640,2280,2360,2695,2650,2280,2245,2410,2705,2400,2315
"YBR158W",24645,26290,23115,23060,24955,22410,41355,39510,41330,44830,40055,38565
"YBR159W",28595,34260,27135,31065,32515,31220,24465,22610,25450,26930,24025,23330
"YBR160W",11490,12220,11980,12785,11985,12200,7990,7705,8190,9425,7300,8590
"YBR161W",3365,3725,3720,3970,3380,3190,4260,4505,4430,4965,4075,3760
"YBR162C",140885,151310,133225,134960,131470,126210,108965,105780,102295,110475,102260,84310
"YBR162W-A",6915,8965,7485,8825,7845,9130,4670,5345,5345,5665,4160,5370
"YBR163W",3955,4545,3990,4625,4095,4010,3155,2565,3625,3710,2985,2790
"YBR164C",9445,10550,9150,10745,10150,9865,7695,7515,7980,9410,7135,8765
"YBR165W",3625,4250,4395,4680,4770,4025,2780,2645,3040,3460,2605,3200
"YBR166C",6225,7220,6735,6975,6960,6180,4610,4100,4660,5520,3975,4970
"YBR167C",2335,2545,2300,2945,2690,2430,2050,1905,2165,2450,1740,2015
"YBR168W",5130,5470,5080,5185,5705,5035,4380,4160,4830,5445,4135,4320
"YBR169C",15480,14920,15055,13845,15150,13385,24730,25240,25765,30860,25485,22710
"YBR170C",14125,15010,13400,15175,14500,13420,10920,10710,11535,12155,10785,11340
"YBR171W",10655,13245,10700,12340,12365,12585,8755,8985,10035,10830,8960,9705
"YBR172C",8845,9350,8435,7955,8625,7930,6630,6515,6685,7125,6390,6110
"YBR173C",22175,26875,23210,24410,25880,25200,17860,18380,18480,20140,17790,17930
"YBR174C",30,40,60,50,40,10,40,15,40,40,10,20
"YBR175W",3805,4770,3810,4380,4160,4350,3200,2855,3130,3395,3235,3260
"YBR176W",2420,2410,2555,2625,2775,2410,1990,1735,2395,2035,1675,2125
"YBR177C",28405,33135,27385,29240,29060,28405,17750,16165,17585,19235,17245,16670
"YBR178W",100,110,95,100,110,85,30,50,25,25,55,30
"YBR179C",7010,6870,5890,6510,6075,6075,4245,4360,4190,4960,4190,4240
"YBR180W",710,570,780,605,740,655,515,475,310,595,450,360
"YBR181C",87505,101005,85680,95495,93450,95975,115375,107080,107730,125945,101035,101265
"YBR182C",1460,1365,1655,1245,1395,1325,1010,1150,1005,1090,1195,865
"YBR182C-A",115,200,140,95,100,160,80,75,95,120,105,85
"YBR183W",12080,13510,12560,12675,13520,11760,14180,13600,14990,15820,13840,13225
"YBR184W",515,550,525,515,465,470,180,270,210,170,175,290
"YBR185C",5785,5665,5935,6080,6185,5435,5970,4995,6020,6095,5650,6110
"YBR186W",1105,1375,1165,1245,1215,1020,940,1030,910,1025,730,820
"YBR187W",18750,23715,19785,21520,20740,21355,23445,22305,22800,24895,24490,20990
"YBR188C",3005,3550,2865,3150,3360,3180,1995,1870,2270,2380,1740,2120
"YBR189W",125075,153765,137335,143480,145360,149600,187965,181295,178190,204650,176495,171965
"YBR190W",85,5,40,90,80,0,115,50,35,25,100,40
"YBR191W",84645,102525,87735,98790,97950,101110,117405,119520,122835,135385,106095,112690
"YBR191W-A",190,220,155,175,105,155,255,210,255,275,245,290
"YBR192W",4270,4770,4200,4565,4810,4345,3505,3075,3265,3705,3305,3255
"YBR193C",4945,6350,5300,5755,5600,5560,4290,3985,3935,5050,4140,3890
"YBR194W",1825,2255,1900,2370,2495,2170,1650,1670,1625,2070,1275,1615
"YBR195C",2850,3120,2710,2965,3315,2895,2055,2040,1830,2040,1775,2090
"YBR196C",292815,327305,277785,285020,294140,282360,351935,340510,335440,377970,342030,302625
"YBR196C-A",170,120,165,110,145,140,110,245,255,140,145,85
"YBR196C-B",180,215,270,110,195,270,255,355,335,300,235,375
"YBR197C",3995,4655,3990,4030,4115,4330,2905,3235,2815,3360,3360,3030
"YBR198C",10240,9850,9430,9815,9610,9325,7225,7475,7330,7830,7010,6870
"YBR199W",33895,40075,32250,39000,37870,36900,32485,30815,34470,37210,30185,33320
"YBR200W",9160,9855,8545,8740,9010,8030,5915,5380,5635,6220,5075,5355
"YBR200W-A",180,130,195,160,140,200,110,55,50,95,90,60
"YBR201W",3270,4035,3325,3745,3695,3445,2705,2385,2965,3450,2295,2690
"YBR201C-A",6955,8090,7570,7640,8145,8300,3540,3785,3920,4150,3395,3370
"YBR202W",12000,13300,10200,11665,11725,10555,6265,5530,6285,6855,5900,6035
"YBR203W",16015,16045,15210,14955,15115,12510,12160,12230,10570,12470,9990,8860
"YBR204C",10840,12430,11305,11930,12010,11085,10220,10675,10835,11910,9495,10565
"YBR205W",13445,15680,12555,14345,14430,14185,13320,13135,12815,14835,13135,11960
"YBR206W",195,325,115,170,145,160,200,220,210,270,155,185
"YBR207W",22965,26705,25480,24880,25855,23895,15355,15365,15580,18170,15725,14190
"YBR208C",8490,8540,7440,7735,7680,7190,13410,8325,13355,16190,11540,16775
"YBR209W",1825,2205,1830,2300,2420,2080,585,940,780,955,885,670
"tC(GCA)B",-40,30,90,5,50,50,30,20,50,15,10,-15
"tE(UUC)B",20,20,15,70,30,55,55,30,5,45,25,30
"YBR210W",4730,5360,4545,5565,5810,5415,3695,3590,4110,4355,3570,4515
"YBR211C",4645,5430,5335,5480,5035,5005,3875,4185,4070,4845,3455,3525
"YBR212W",48965,49595,42940,44495,45385,41180,35000,33165,32435,37070,33590,29505
"YBR213W",1005,1000,825,850,1120,920,710,835,665,810,745,770
"YBR214W",35550,34555,32460,34125,33190,32045,40020,39870,39225,42985,41925,41995
"YBR215W",5070,5645,5390,5265,5210,4895,3375,3635,3490,3785,2755,3560
