"","A.t1_rep3","A.t2_rep3","A.t3_rep3","A.t4_rep3","A.t5_rep3","A.t6_rep3","B.t1_rep3","B.t2_rep3","B.t3_rep3","B.t4_rep3","B.t5_rep3","B.t6_rep3"
"YDL248W",25090,28150,24870,25560,27740,24780,2,26710,25470,29140,28380,23130
"YDL247W-A",270,150,280,230,290,300,2,410,450,360,310,310
"YDL247W",6370,6420,5880,5540,6280,5190,2,3720,3880,4400,3720,3250
"YDL246C",4120,4270,4060,4240,4660,4220,2,3230,2680,3800,2460,2900
"YDL245C",4490,4040,4420,4170,4200,3770,2,3400,2810,3520,3470,3110
"YDL244W",4590,5210,4880,4980,4840,4890,3,1810,1490,1940,1270,1610
"YDL243C",7610,7960,8220,8550,8560,7880,1,5790,5690,7910,6480,6730
"YDL242W",1850,2420,1970,2260,2780,1940,1,1690,1600,2180,2070,2050
"YDL241W",2130,2980,2220,2890,3040,2570,2,4470,4510,5420,4040,3970
"YDL240C-A",100,140,150,140,110,60,2,80,90,70,100,110
"YDL240W",9380,9650,8860,9280,9230,8300,1,5980,7680,7750,6290,6620
"YDL239C",2700,2720,2240,2590,2480,2200,3,3510,4310,4390,3430,3420
"YDL238C",12360,14210,12220,12460,13400,11810,2,14500,14270,17790,13410,13570
"YDL237W",40130,42780,37710,39350,42610,40790,3,33720,36500,41150,36540,34430
"YDL236W",34580,40960,37510,41090,40110,39500,3,32160,32420,36290,33030,31940
"YDL235C",19470,23660,20440,21530,22640,21980,3,12330,12840,15840,11110,13320
"YDL234C",43350,41620,43650,42040,40410,36790,2,47210,38860,49570,41830,36210
"YDL233W",9310,9380,10940,10920,10180,9510,1,6630,5900,6990,6210,5980
"YDL232W",14580,18140,15150,17150,17850,18720,1,14300,14850,15490,14270,14140
"YDL231C",23090,24430,21100,22350,21950,21770,2,18840,18010,20270,16940,16630
"YDL230W",14070,18790,15490,16440,16790,15000,2,12990,13620,14860,12840,13110
"YDL229W",248650,268940,228370,245010,235890,231270,2,358450,348620,382080,367130,321450
"YDL228C",180,160,220,180,180,170,3,320,190,240,260,200
"YDL227C",770,750,710,650,700,480,3,660,620,800,480,890
"YDL226C",36740,42640,35990,39240,39860,38980,2,29580,28720,34820,28830,29770
"YDL225W",18750,21630,18360,19760,20080,18230,1,13500,14340,15390,11010,14580
"YDL224C",25010,24170,21850,24610,23820,22220,2,16900,16820,19040,16540,17230
"YDL223C",11460,10860,10100,9790,10180,9090,2,10560,10350,11080,9510,9060
"YDL222C",4960,5920,5360,5100,5930,4730,2,7470,7470,8590,7230,6220
"YDL221W",1340,1480,1460,1630,1310,1350,1,1000,990,920,970,980
"YDL220C",7370,7840,6820,6880,7560,7050,2,4770,4400,5470,4560,3980
"YDL219W",6510,7340,6680,7380,7500,7350,3,5570,6190,7040,5130,5180
"YDL218W",1360,1500,990,1330,1140,1400,2,1810,1930,1810,1690,1570
"YDL217C",13050,16750,14290,15260,15140,15420,3,8970,8550,10150,9360,8990
"YDL216C",5230,5340,5160,5560,5800,4760,2,4010,4020,5260,3930,4030
"YDL215C",42080,42830,37640,39290,39350,35910,3,73680,81830,90330,73600,75090
"YDL214C",11900,11980,11630,10940,11940,9800,2,4630,4330,4310,4220,4050
"YDL213C",9610,11040,10660,11510,11060,10180,2,9190,7810,8980,6330,7970
"YDL212W",72280,89470,74160,82240,84540,84100,2,72120,74770,80820,71190,65450
"YDL211C",3280,3020,2720,3260,3260,3670,2,1740,1640,1690,1520,1720
"tG(GCC)D1",70,70,70,70,70,70,1,70,70,70,70,70
"YDL210W",3830,4810,4620,4550,4850,4140,2,3030,2990,3410,3340,2680
"YDL209C",3410,3910,3210,3350,4180,3930,2,1410,1810,1830,1150,1550
"YDL208W",14000,18470,15950,16790,15840,17600,3,20860,19730,20460,15680,17960
"YDL207W",13860,15570,14280,14070,13260,12760,2,10230,8310,10400,8300,8540
"YDL206W",15800,16770,17100,15960,15730,13830,2,18070,17430,18200,18000,13580
"YDL205C",14870,16150,14320,14640,14190,14750,2,13880,16010,15830,14660,14560
"YDL204W",9550,9470,9310,8070,9370,8010,2,85400,94190,101390,86940,80450
