"","A.t1_rep3","A.t2_rep3","A.t3_rep3","A.t4_rep3","A.t5_rep3","A.t6_rep3","B.t1_rep3","B.t2_rep3","B.t3_rep3","B.t4_rep3","B.t5_rep3","B.t6_rep3"
"YDL203C",11120,11990,9820,10850,11380,9150,2,7910,7740,8820,7480,6660
"YDL202W",9310,11210,9590,10240,9820,9190,2,7390,7740,9140,6960,8550
"YDL201W",5520,6860,5920,5720,5970,6380,2,6910,6060,6910,5770,6300
"YDL200C",4390,4180,4130,4670,4560,4870,2,3030,3840,4010,3080,3770
"YDL199C",12920,13200,12630,12550,13850,11030,2,10200,9740,11020,10000,8450
"YDL198C",28390,37410,26070,32970,33820,33330,2,47940,52150,56650,49860,50280
"YDL197C",14430,13850,13390,14160,14570,13400,1,9670,9210,11630,9220,8830
"YDL196W",840,750,880,680,840,440,2,700,570,730,540,610
"YDL195W",79550,73570,65710,68750,64700,63500,1,61520,57270,65480,60000,54240
"YDL194W",22540,23180,21940,21560,22400,19820,2,19030,20870,21700,18130,17800
"YDL193W",15780,18140,16390,17210,17330,16680,1,17260,17250,19930,17960,16890
"YDL192W",94540,118560,100610,119810,114190,117110,2,113370,122300,134870,106460,119000
"YDL191W",135140,154230,141870,151920,158020,161590,1,160410,164110,188130,148700,165280
"YDL190C",36600,37580,31950,33840,34330,31910,2,30440,30420,35880,27930,29350
"YDL189W",15200,16950,14190,16260,15400,15620,2,10030,9710,11000,8880,9350
"YDL188C",27880,30920,25600,26860,27050,26930,2,29430,30220,32580,27610,27180
"YDL187C",100,80,70,70,80,70,2,80,70,90,70,90
"YDL186W",4510,4300,5250,4480,5450,4250,1,4530,4100,4040,3810,4020
"YDL185C-A",80,100,80,100,110,120,1,120,110,110,130,120
"YDL185W",171670,182720,153780,161810,160660,156150,1,172470,171910,191700,174240,148300
"YDL184C",100730,115310,110060,121490,115980,119560,2,134960,139120,150290,136550,138740
"YDL183C",3910,4300,4720,4510,4850,4020,1,3810,2990,3230,2890,2700
"YDL182W",33580,34630,32050,32660,35210,31010,1,38470,35570,40090,37430,38440
"YDL181W",12970,16090,13220,15260,15480,14850,3,20150,23180,23260,20290,23400
"YDL180W",21070,23440,20480,21980,20630,20310,2,17530,16930,20390,17880,14990
"YDL179W",5050,5150,5360,5080,4950,5160,2,4730,5910,5810,4740,5680
"YDL178W",21910,29380,23450,24970,26910,26470,2,16520,18010,18680,17000,16290
"YDL177C",1910,2420,2310,2820,2430,2390,2,1300,1380,1880,850,1450
"YDL176W",7790,7800,7040,7650,7750,6910,2,4130,4150,4510,3920,3910
"YDL175C",7560,8230,7940,8020,7480,7560,3,5260,5150,6540,4450,4950
"YDL174C",66350,69120,60640,60610,64320,58500,2,52940,54390,61440,54500,49770
"YDL173W",10870,13910,10660,12320,13030,11850,1,6740,6060,7490,5320,6990
"YDL172C",80,70,70,70,70,70,2,70,70,60,80,70
"YDL171C",36110,36120,30430,32470,31250,28780,2,26930,26400,29300,25940,20560
"YDL170W",12620,14460,11880,14020,13770,12230,1,8620,8850,10530,9910,8440
"YDL169C",8460,10060,9940,10240,10200,9190,2,7230,6690,7710,5840,6750
"YDL168W",25970,30050,25220,27420,27780,28000,3,20180,20840,25150,22620,21600
"YDL167C",2990,3750,2480,2790,3070,3040,2,2210,1390,2280,1860,1580
"YDL166C",6180,6450,6470,6670,7310,6680,1,5730,5560,6090,4210,5330
"YDL165W",13520,14880,14500,14820,14430,14370,2,10890,11430,13410,10310,10570
"YDL164C",11470,12660,9180,10180,10210,9990,2,8160,7020,8460,7490,7800
"YDL163W",70,70,70,70,70,70,2,70,70,60,70,80
"YDL162C",120,110,90,130,130,110,1,90,170,140,80,70
"YDL161W",28210,27920,27280,28460,29830,25760,1,21960,20520,26590,17500,22650
"YDL160C-A",4160,5130,5200,5770,5170,5560,2,4000,3610,4260,4160,4420
"YDL160C",21300,19480,18720,18160,18450,14040,2,23240,21890,24840,19650,17460
"YDL159W-A",310,300,210,330,310,260,2,440,330,400,420,330
"YDL159W",8400,9250,8020,8620,8400,7440,2,5950,5970,7330,5470,5710
"YDL159C-B",70,70,70,70,70,70,2,70,70,70,70,70
"YDL158C",1310,1880,1510,1700,1740,1440,2,1380,1360,1810,1200,1360
"YDL157C",13960,18140,15370,18510,17710,18380,2,12900,13740,15150,12770,13520
"YDL156W",5100,4910,4370,4510,4240,3840,1,3020,2750,2980,2450,2580
"YDL155W",12040,12330,11550,11680,11800,11040,2,7890,8970,9550,6690,9040
"YDL154W",1280,1100,1430,1220,1240,1140,1,2890,2670,4070,2380,3080
"YDL153C",6430,6150,6560,6090,5800,5500,2,6560,5300,5640,4560,4790
"YDL152W",70,80,80,70,80,70,2,70,70,70,70,70
"YDL151C",80,80,90,80,80,70,2,130,90,70,90,70
"YDL150W",2130,2580,2290,2480,2590,2830,3,2200,1920,1850,1560,1730
"YDL149W",9120,9790,8270,8280,9090,8390,1,8820,8970,9600,8450,7760
"YDL148C",4950,4410,4750,4100,4460,4000,2,4000,3910,3720,3310,2830
"YDL147W",55320,57520,53060,58670,55660,53350,1,46370,46580,55900,42400,50170
"YDL146W",14650,15290,14060,15240,15190,13470,2,16120,15960,19500,15150,15450
"YDL145C",94900,100130,82790,86080,83510,80490,3,92550,91360,99790,91120,77120
"YDL144C",30610,35300,31380,32270,33580,33170,2,19950,20900,22860,21880,20710
"YDL143W",57750,65490,55760,58110,57950,55680,2,55920,56050,61040,53790,52670
"YDL142C",14680,15530,15420,15710,15760,14830,1,10660,11260,12660,11180,10520
"YDL141W",17870,19610,15210,17670,17900,16370,1,10880,10790,11760,11420,11920
"YDL140C",68010,63590,58340,57830,57640,55520,2,52310,47170,54960,49500,44400
"YDL139C",2470,2780,2720,2790,2730,2330,1,1650,1600,2210,1260,1380
"YDL138W",13660,15380,11850,13030,13170,13060,2,7040,7100,7760,6850,6710
"YDL137W",88370,113740,90430,107420,103080,109600,2,72510,83410,92210,66170,86300
"YDL136W",128140,150980,131210,146660,144220,155380,3,160400,165100,186030,134140,159200
"YDL135C",20990,23390,21280,23880,24050,22420,2,17230,17290,20430,15040,16840
"YDL134C",44560,48880,44950,48580,43330,46120,2,45760,48400,54570,42810,45850
"YDL133C-A",56110,62940,65330,73000,64160,76320,2,79940,76220,88390,69960,81670
"YDL133W",11790,12360,11300,14300,12910,11680,2,10220,10520,11050,9760,10420
"YDL132W",36790,36960,31050,34800,33890,31450,1,31490,32870,36240,31240,31140
"YDL131W",60540,70430,63630,64310,63920,62540,2,37640,39550,42560,39330,39180
"YDL130W-A",19570,24660,19850,22920,24570,23530,2,25620,27660,31470,21440,28710
"YDL130W",207920,245810,213970,227540,231370,235500,2,274860,256460,282960,267600,236770
"YDL129W",2940,3030,2660,2890,3530,2490,3,3200,2880,2930,3130,2550
"YDL128W",55710,62090,49780,53540,53660,48400,2,50250,53650,53960,54420,44070
"YDL127W",6820,7690,6730,6840,8340,6700,2,3860,4700,4970,4010,4280
"YDL126C",277830,293470,251830,260010,259490,241740,2,235390,240370,273740,240360,227960
"YDL125C",87580,103280,88650,101820,102650,107030,2,87010,86410,94240,83750,82380
"YDL124W",70140,75370,70700,73430,74800,73620,2,145430,151410,176450,147050,153650
"YDL123W",13720,14720,13120,14210,14160,14280,1,9590,10010,10550,11340,10700
"YDL122W",17360,17430,15450,15570,15430,15550,3,12330,13390,14130,12630,11880
"YDL121C",18830,21570,19230,22990,20740,22720,2,13500,14900,16730,13730,14440
"YDL120W",15040,17260,15720,16840,15950,16670,2,15050,14750,16980,12600,14900
"YDL119C",5730,7350,6830,6670,6110,6680,2,4470,5070,5230,4370,4820
"YDL118W",760,800,750,700,580,570,2,350,350,370,360,410
"YDL117W",18520,18700,17250,17390,16490,14330,2,9730,10760,12190,9280,9250
"YDL116W",20720,19660,17330,19100,18790,17630,1,11250,12190,13580,10860,11450
"YDL115C",10080,8840,10640,10780,9700,8850,2,8490,9000,9100,6170,7880
"YDL114W-A",70,70,70,70,70,70,2,70,60,70,70,70
"YDL114W",260,180,280,270,310,250,2,190,200,150,110,140
"YDL113C",19170,19510,19330,17460,18140,16700,2,16170,15720,18740,13550,14410
"YDL112W",8160,8670,7270,7250,6760,6860,2,5180,4600,5480,4870,5220
"YDL111C",11950,13030,11920,13010,12510,11640,3,8560,8540,10830,8620,8630
"YDL110C",31440,35290,33820,36270,38500,35590,2,40270,44430,48780,30890,44340
"YDL109C",4790,4830,4710,4900,4950,4560,1,3630,3460,3560,3580,3280
"YDL108W",7660,8630,7610,8180,7740,8890,2,6350,6000,7270,5660,6770
"YDL107W",4800,5000,5000,5330,5040,4680,1,4740,4410,5420,3470,4570
"YDL106C",13130,14920,14310,13280,13120,11830,3,10420,10360,11190,9910,9110
"YDL105W",2420,3140,3690,3010,3470,2780,2,1890,2030,2120,1550,1870
"YDL104C",4340,4730,4610,4390,4970,3990,2,3580,3560,4260,3920,3310
"YDL103C",20630,21510,18340,20590,20410,20180,3,15160,16160,17040,14130,15030
"YDL102W",7670,8330,7080,7750,6990,6280,2,5400,4980,5500,5050,4190
"YDL101C",5240,5980,4260,5430,5050,5210,1,3530,3920,4440,2980,4380
"YDL100C",88390,99790,86220,93500,92590,88420,3,65560,68290,78530,64570,67790
"YDL099W",11560,12880,11900,12600,12500,12020,2,10100,11270,11640,6530,11310
"YDL098C",3210,3070,3450,3650,3150,3640,1,2240,1890,1950,1350,2100
"YDL097C",69930,72500,68640,71410,73600,68770,2,54240,52470,61470,50990,55300
"YDL096C",70,70,80,70,70,70,2,70,70,70,70,70
"YDL095W",56430,62240,50710,52270,50010,50440,2,51950,49760,55590,48840,41730
"YDL094C",210,120,220,160,200,170,3,110,180,200,220,190
"YDL093W",15310,16450,13810,15010,14720,12540,2,11390,12100,12210,11300,9640
"YDL092W",13420,16360,15140,16320,15720,15150,2,15680,14530,17010,11490,15110
"YDL091C",18620,19340,18780,18330,18540,17610,2,16270,17030,19670,15720,17540
"YDL090C",15900,16670,16520,16390,17810,15330,2,9910,9670,10800,10070,9450
"YDL089W",11460,12660,11420,11230,12490,10120,2,12640,13710,14940,12090,12940
"YDL088C",15190,15690,14680,14760,15900,14190,3,13770,12690,14810,12070,12450
"YDL087C",7580,8480,7980,7670,8010,7570,2,5470,4270,5210,4860,4790
"YDL086W",13640,16260,13490,14640,16740,14830,2,11870,12590,14750,12580,11650
"YDL086C-A",60,70,80,70,70,70,2,70,80,70,80,70
"YDL085C-A",7120,8270,7350,8140,7620,7570,1,5860,6480,6430,5590,6080
"YDL085W",9070,9060,9030,9260,9620,8820,2,8470,10020,10760,8480,8040
"YDL084W",128090,143320,124210,135120,125040,123940,2,123070,134390,144880,116100,124660
"YDL083C",169730,211460,185680,206910,206230,215980,3,237240,233550,263060,243340,241180
"YDL082W",137240,155550,145520,155140,148960,151020,3,168190,166160,181270,159710,153110
"YDL081C",257700,282990,257090,288260,261090,274420,2,344570,338530,360750,352010,326020
"YDL080C",15480,17330,15640,15250,16040,14390,2,11040,10360,12800,10380,11310
"YDL079C",21580,22170,21190,21810,22330,19790,1,51120,52000,57700,47770,45030
"YDL078C",73920,82670,73480,78290,82140,75360,2,68360,74760,81970,68760,75030
"YDL077C",10910,11350,10310,11050,9940,9290,2,8300,7100,8030,7100,6600
"YDL076C",17030,19110,16470,19120,19940,19070,3,14820,15730,18170,15100,14780
"YDL075W",148470,176310,161250,170190,174800,176410,2,220510,223700,245200,182950,206840
"snR63",3120,4520,3170,3550,4380,3870,2,3650,4280,3900,3770,3470
"YDL074C",15780,15340,14480,15540,14770,14650,3,10100,9060,11560,8240,9740
"YDL073W",16060,18780,15040,17910,17090,16610,2,10290,11400,11800,10560,10510
"YDL072C",155740,181270,160360,170540,181260,171510,1,155310,153360,174650,157310,144930
"YDL071C",1040,960,1000,990,1220,1050,2,690,790,750,810,690
"YDL070W",23670,25080,23710,25190,24990,21160,1,31380,29950,33540,25400,27580
"YDL069C",1160,1670,1640,1760,1620,1520,2,1340,1230,1540,1070,1420
"YDL068W",210,130,160,170,310,250,3,160,190,180,120,170
"YDL067C",38040,44430,37800,40870,42920,44540,2,35330,38130,39910,33400,36330
"YDL066W",31290,35400,29490,31290,29230,28280,3,29210,31630,34710,29330,29730
"YDL065C",8510,9400,7840,8960,9050,7700,2,6710,6020,7570,4340,7000
"YDL064W",15360,18280,15950,18470,17170,18670,1,14670,15270,17800,15260,17150
"YDL063C",2460,2730,2530,2160,2250,2320,2,1470,1650,1320,1440,1120
"YDL062W",80,70,90,70,80,90,2,70,70,70,80,80
"YDL061C",157540,187970,165080,184200,191200,204730,3,242370,234600,256560,250180,230450
"YDL060W",5490,6450,6160,5770,5330,4920,1,5120,4460,4990,4170,3960
"YDL059C",3740,3870,4400,4250,4080,3950,3,2460,2930,2100,2430,2560
"YDL058W",12140,12620,10640,11230,11520,11170,2,7900,7350,8260,6950,7050
"YDL057W",7490,8290,7670,7450,8330,8090,1,4880,4930,5870,4810,5300
"YDL056W",10450,9940,8620,9120,8760,8060,2,6420,6650,7200,5370,6750
"YDL055C",303530,346910,299460,319530,299160,296190,2,380800,413010,431840,361290,355440
"tK(UUU)D",170,210,120,190,250,170,2,610,430,570,410,360
"YDL054C",31150,36990,28870,32000,34350,31770,2,22830,26850,26770,23950,20820
"YDL053C",12660,14230,12830,13220,13460,12840,1,11180,12450,12720,11360,11170
"YDL052C",28830,33340,30170,33540,31200,32320,2,33350,33140,34960,31170,32080
"YDL051W",13970,17010,16420,15730,16930,16160,3,16010,15730,16680,14690,13850
"YDL050C",90,70,90,90,80,80,3,80,110,100,130,90
"YDL049C",6080,7010,5250,6000,5810,5660,2,3110,3110,2790,2500,2450
"YDL048C",32780,31860,32810,31250,32530,30380,2,36530,28920,34060,33830,24370
"YDL047W",38670,41260,38150,38210,40300,37620,3,25350,24220,27390,24190,23890
"YDL046W",140610,164570,136810,151840,167280,163710,2,142080,156420,167180,153130,149220
"YDL045W-A",9300,10370,9410,10450,10200,11430,3,8140,8900,10040,7410,9180
"YDL045C",17450,19440,17310,19410,19650,18550,2,13470,16000,17950,13330,13670
"YDL044C",4400,4590,3890,4180,4740,4080,2,2840,2860,2880,2280,3140
"YDL043C",4400,4370,5030,4900,3970,4330,3,3270,3700,4000,3130,4180
"YDL042C",5440,5110,4830,5110,4590,4370,3,3880,4170,4400,3960,3970
"YDL041W",80,70,80,70,70,80,2,70,60,70,70,70
"YDL040C",37940,37750,34880,34930,34050,31860,2,29370,28550,30810,28250,26190
"YDL039C",9440,8340,9210,7680,9190,7430,2,10270,7510,9470,7980,6120
"YDL037C",2350,2200,2280,2000,2450,2080,1,3430,2320,2860,2930,2100
"YDL036C",7570,8050,7150,7270,7260,7120,2,3690,2930,3660,2770,3250
"YDL035C",23780,23900,22270,21020,22630,20480,2,16600,16050,18980,14940,13260
"YDL034W",250,380,400,140,170,200,3,190,190,220,180,160
"YDL033C",3120,3490,3210,3330,3190,2970,3,3100,2600,3300,2510,2590
"YDL032W",80,80,70,70,80,70,2,60,70,70,60,70
"YDL031W",5640,6230,5560,5680,5750,5710,2,4090,4240,4880,3460,3420
"YDL030W",6500,7570,7380,7570,7260,7520,2,4830,4290,5620,4330,4220
"YDL029W",95310,111610,96050,101310,106200,103100,2,81260,85370,100040,82530,89090
"YDL028C",8940,7710,7180,8220,8000,7510,2,4990,4940,6540,4940,5570
"YDL027C",19610,22740,18880,20730,21440,18790,2,19010,20020,22710,18120,19150
"YDL026W",90,110,110,100,140,110,2,90,100,90,150,100
"YDL025C",26140,26190,22960,24420,23620,22450,1,23980,23420,26630,24340,20620
"YDL025W-A",70,70,70,70,70,70,1,70,70,60,70,70
"YDL024C",3200,3040,3050,3060,3600,2610,2,1910,1540,2240,1720,1800
"YDL022C-A",120,160,120,150,220,80,3,160,100,130,170,170
"tA(AGC)D",70,70,100,70,60,60,2,70,70,80,60,80
"YDL023C",470,260,430,500,410,480,2,100,180,170,180,130
"YDL022W",54340,54610,54660,54690,55800,53150,2,162040,155110,172660,155150,151290
"YDL021W",11000,10780,12530,12180,11930,11590,2,8220,9070,9590,6890,7920
"YDL020C",23070,24820,24380,25960,25340,21580,2,21800,21860,25650,20560,20750
"YDL019C",29220,28800,26860,25020,24420,23460,1,33880,33070,36160,32430,29180
"YDL018C",10030,12430,10140,12150,11050,12290,2,9320,10770,11280,9980,10210
"YDL017W",8980,9300,9310,8270,9140,7700,2,5070,5370,6030,4450,4930
"YDL016C",4050,4670,4200,4210,4050,4330,2,5120,5110,5400,4850,4480
"YDL015C",102560,117650,103120,105620,106640,109520,2,122970,126040,132040,127570,113190
"YDL014W",40690,47500,40050,46540,41290,43330,2,60310,54990,56830,58240,53800
"YDL013W",13040,13920,13430,13140,13120,11840,2,8720,7800,9510,7470,8070
"YDL012C",16530,18530,18610,18320,19100,18820,2,15650,14590,15790,14420,13830
"YDL011C",80,90,90,80,70,70,2,80,70,70,90,80
"YDL010W",3540,4430,3730,4580,3830,4010,2,2530,2430,2650,2150,2200
"YDL009C",1330,1400,1210,1540,1480,1230,3,830,770,910,640,780
"YDL008W",7470,7970,8380,8980,9100,8100,2,6390,6960,7700,5900,6450
"tT(AGU)D",90,80,100,80,70,70,2,70,70,90,90,70
"YDL007C-A",70,90,70,90,120,70,2,90,70,90,70,70
"tS(AGA)D1",70,80,70,70,70,70,1,70,60,80,70,70
"YDL007W",86110,92080,81010,88120,88440,81460,2,62480,64880,73630,54320,65380
"YDL006W",6590,7580,8270,8860,8380,7970,2,6620,6710,7950,5900,6980
"YDL005C",13940,15850,12760,14860,16170,13110,2,11470,12090,13180,8890,11460
"YDL004W",43470,49820,45570,49530,50000,49390,1,41250,48010,54110,38870,49460
"YDL003W",5480,8190,5570,6010,6330,6510,3,2590,3040,3480,2090,2470
"YDL002C",9300,9660,10140,10520,10200,9910,2,7450,6670,9320,5340,7090
"YDL001W",5560,7400,6180,7010,6830,6660,2,3320,3260,4500,3580,3560
"YDR001C",59460,57050,54500,53280,51740,50640,2,87820,90180,100520,86890,85370
"YDR002W",77450,88320,79400,88220,84310,84530,2,78990,79340,87480,62920,73430
"YDR003W",20100,24480,21470,22880,24000,22010,2,19330,20020,22430,18660,19450
"YDR003W-A",5580,6540,5600,5710,6590,5880,2,5200,5390,5310,4310,5180
"YDR004W",12410,14300,12360,14650,14310,13680,2,9400,8760,10780,9220,8630
"YDR005C",18390,19760,17180,19230,19580,18970,2,19460,20930,25280,16770,20260
"YDR006C",25880,24820,24400,23870,22450,21550,2,16590,15020,16990,15560,12790
"YDR007W",11140,14290,12320,14280,14130,13790,1,8690,9900,11070,9070,9240
"YDR008C",100,110,80,110,70,90,3,100,80,120,80,80
"YDR009W",8530,8730,8350,8880,9180,7960,3,3410,4580,4920,4280,4140
"YDR010C",1880,1990,1700,1980,1910,1970,2,590,560,700,420,570
"YDR011W",37030,38970,33220,35050,32650,30130,1,42750,42720,47300,40300,36010
"YDR012W",399960,428550,379090,396930,385450,388440,3,467840,421270,475940,491200,372100
"YDR013W",4950,5830,5210,6560,5540,5590,3,3290,3810,4660,3470,3810
"YDR014W",4140,4530,3920,4120,4270,3910,3,2560,2510,3340,2260,2200
"YDR014W-A",450,370,320,300,340,380,2,250,230,190,300,210
"YDR015C",70,70,70,70,70,70,1,80,70,70,70,70
"YDR016C",7120,8750,8560,10290,9220,9420,2,8040,9280,9990,7420,9540
"YDR017C",17100,17200,16270,15940,15180,14970,2,12550,12940,13780,11000,11920
"YDR018C",10750,11610,10360,11660,12380,11350,2,6560,6990,7940,6630,6340
"YDR019C",7370,8650,7220,7710,8720,8110,2,13820,19220,18080,13620,21950
"YDR020C",3140,4040,3080,3710,3770,3120,1,2000,2130,2340,2430,2050
"YDR021W",930,1180,1200,1000,780,840,2,510,530,550,390,410
"YDR022C",6640,7110,7270,7580,8230,7730,1,3220,4100,4520,3110,4170
"tV(UAC)D",140,90,80,130,110,90,3,190,110,130,150,130
"YDR023W",114460,129670,113740,118060,116710,115800,2,117870,122130,135950,110940,112420
"YDR024W",300,380,370,450,450,420,2,440,430,520,420,410
"YDR025W",155900,188600,167820,174980,186460,182200,2,197390,191650,211960,200700,198570
"YDR026C",7400,7640,7490,8110,7830,7170,2,4410,4240,5250,3340,4130
"YDR027C",17150,16230,16450,15770,16470,13780,2,11320,12370,14680,11600,11580
"YDR028C",37360,32590,32240,33940,29530,29830,1,27130,27570,30190,24900,24860
"YDR029W",2120,2370,1890,2140,1760,1690,2,1880,2000,2180,1840,1970
"YDR030C",3470,3350,3370,3610,3620,2820,2,3510,3170,3850,3220,2810
"YDR031W",4160,4630,5080,5870,5690,5020,2,4350,5080,5880,4440,5390
"YDR032C",109680,131890,108640,122240,126570,128030,2,106910,119080,126600,107140,108090
"YDR033W",33560,39330,34110,34650,35480,34140,2,402340,384160,413310,390200,310090
"YDR034C",15010,16090,14520,15900,14710,12920,2,11160,10250,12330,10550,9570
"YDR034C-D",8090,7730,7240,7640,7210,6730,2,13500,10850,13500,10960,10380
"YDR034C-C",70,70,80,70,70,70,2,70,80,70,80,80
"tL(UAA)D",70,70,70,70,70,70,2,70,70,70,80,70
"YDR034C-A",230,200,190,310,300,230,1,240,320,180,190,200
"tQ(UUG)D1",70,70,60,70,70,70,2,70,90,70,90,70
"YDR034W-B",4260,4240,3900,4050,4270,4170,2,6210,6930,7180,6370,6250
"YDR035W",80760,92040,82620,85210,81700,77890,3,74310,74910,84650,71880,72360
"YDR036C",14830,14580,13800,14400,15060,13720,2,12310,13040,14930,12760,11740
"YDR037W",173060,189420,164180,177100,158330,162040,2,162310,162740,175450,148200,151340
"YDR038C",17510,17560,16170,15340,15680,14250,3,17480,16480,18050,16930,13540
"YDR039C",20540,20700,18820,19820,17390,16460,1,20710,19430,22880,20120,17740
"YDR040C",19190,18940,17620,18550,16910,15880,2,20780,19910,21580,19800,16980
"YDR041W",17160,20130,18840,19920,19300,19920,2,15390,17070,19200,13610,15630
"YDR042C",760,890,920,670,1000,1050,2,420,520,680,510,500
"snR47",750,950,700,860,820,1070,2,770,940,1020,730,1000
"YDR043C",4600,5190,5000,5040,4910,4610,2,6140,5420,5800,4790,4580
"YDR044W",28470,31390,27010,28350,28310,27640,2,34770,35840,37910,32260,33760
"YDR045C",5450,6850,6250,6240,6220,6390,1,4210,4500,5310,4100,4340
"YDR046C",38630,44460,38840,40480,42250,37030,2,45890,46590,48720,49580,38110
"YDR047W",35770,41460,36280,36190,38500,36250,2,26230,27340,30530,27590,25500
"YDR048C",120,100,110,80,140,90,2,170,90,120,90,110
"YDR049W",7750,7820,7280,7960,7310,7470,2,4040,4580,5540,3590,4680
"YDR050C",1275150,1501090,1314100,1435050,1421340,1444950,2,1332360,1346590,1535040,1291680,1324820
"YDR051C",11090,12130,11500,12650,10500,11480,2,7530,8320,8540,6290,7470
"YDR052C",15600,14860,13630,14600,14430,13340,2,8280,7530,8030,6780,7790
"YDR053W",260,280,350,310,380,260,1,170,180,240,240,260
"YDR054C",37410,39510,39050,40030,39710,36630,2,25010,27300,29840,24450,26000
"YDR055W",35780,37520,34890,37070,38790,35000,3,120950,123400,140370,116070,114470
"YDR056C",25320,30300,26030,30020,28970,29300,2,25440,27700,29430,22080,25220
"YDR057W",11160,11830,10080,11400,10310,9310,2,8370,8810,10640,8470,7180
"YDR058C",6210,6740,6260,6660,6000,7530,2,4620,4970,6350,4010,5360
"tR(UCU)D",70,70,70,80,70,70,2,70,70,80,70,70
"tD(GUC)D",70,70,80,90,70,70,3,130,80,60,100,120
"YDR059C",38330,42480,37980,38710,43430,42970,2,20730,22900,25230,21390,19560
"YDR060W",6160,6740,5920,6610,6920,6740,2,5600,4610,4970,4100,3940
