"","A.t1_rep4","A.t2_rep4","A.t3_rep4","A.t4_rep4","A.t5_rep4","A.t6_rep4","B.t1_rep4","B.t2_rep4","B.t3_rep4","B.t4_rep4","B.t5_rep4","B.t6_rep4"
"YDL167C",6040,7580,5020,5660,6220,6160,4300,4460,2840,4620,3740,3240
"YDL166C",12400,12960,13000,13400,14680,13420,11040,11500,11140,12240,8480,10720
"YDL165W",27120,29820,29040,29700,28940,28780,21920,21820,22920,26880,20680,21220
"YDL164C",23000,25380,18400,20420,20500,20020,16360,16380,14100,16960,15040,15680
"YDL163W",200,200,220,200,220,220,180,200,180,180,200,180
"YDL162C",300,260,240,320,320,280,300,220,380,300,220,200
"YDL161W",56480,55920,54620,56960,59720,51600,44700,44000,41080,53240,35060,45360
"YDL160C-A",8380,10320,10460,11580,10400,11200,8880,8060,7280,8580,8360,8900
"YDL160C",42660,39020,37500,36400,36960,28160,46500,46500,43840,49720,39360,34980
"YDL159W-A",680,660,460,720,680,580,540,920,700,840,860,720
"YDL159W",16820,18560,16120,17300,16840,14940,12540,11960,12020,14700,11000,11480
"YDL159C-B",200,200,200,200,180,200,200,200,200,200,200,180
"YDL158C",2680,3820,3080,3460,3560,2940,2980,2820,2740,3680,2440,2780
"YDL157C",27960,36340,30800,37060,35480,36820,24440,25840,27520,30340,25580,27060
"YDL156W",10260,9840,8800,9100,8540,7720,5280,6100,5560,6040,4940,5220
"YDL155W",24140,24720,23160,23420,23660,22120,17340,15840,18000,19160,13440,18140
"YDL154W",2620,2260,2920,2500,2540,2360,7400,5840,5400,8160,4820,6200
"YDL153C",12900,12340,13180,12240,11640,11060,12160,13160,10640,11320,9160,9620
"YDL152W",220,220,180,200,240,200,200,180,200,200,220,180
"YDL151C",240,220,240,220,220,200,280,340,240,200,240,200
"YDL150W",4300,5220,4640,5020,5240,5720,3500,4460,3900,3760,3140,3520
"YDL149W",18300,19620,16580,16620,18240,16820,16680,17700,17980,19240,16940,15560
"YDL148C",9960,8900,9560,8220,8980,8080,7960,8060,7860,7500,6680,5740
"YDL147W",110720,115120,106180,117400,111380,106760,96220,92800,93240,111860,84860,100400
"YDL146W",29380,30620,28180,30540,30440,27000,31680,32320,31980,39060,30360,30920
"YDL145C",189840,200320,165620,172200,167080,161040,186080,185180,182780,199620,182280,154280
"YDL144C",61280,70660,62840,64600,67180,66400,38620,39960,41860,45760,43820,41480
"YDL143W",115560,131060,111600,116280,115960,111420,113040,111920,112160,122160,107640,105400
"YDL142C",29400,31140,30880,31480,31580,29720,21920,21400,22600,25380,22420,21100
"YDL141W",35800,39260,30480,35380,35840,32800,24080,21800,21660,23580,22880,23880
"YDL140C",136080,127240,116740,115740,115340,111060,104600,104700,94400,109980,99040,88860
"YDL139C",5020,5620,5520,5660,5520,4720,3380,3360,3280,4480,2600,2820
"YDL138W",27360,30800,23780,26100,26400,26180,14800,14140,14280,15600,13760,13480
"YDL137W",176800,227540,180900,214900,206200,219240,156680,145080,166860,184500,132400,172640
"YDL136W",256340,302020,262480,293380,288520,310820,315820,320880,330280,372120,268340,318440
"YDL135C",42040,46860,42620,47840,48180,44900,32180,34520,34640,40940,30140,33760
"YDL134C",89180,97800,89940,97240,86700,92300,97100,91560,96860,109220,85700,91760
"YDL133C-A",112280,125940,130720,146040,128380,152680,150240,159920,152500,176820,140000,163400
"YDL133W",23640,24780,22660,28660,25880,23440,18800,20500,21120,22180,19580,20900
"YDL132W",73640,73980,62180,69660,67860,62980,66840,63040,65800,72540,62560,62340
"YDL131W",121160,140920,127300,128660,127920,125120,83820,75340,79140,85180,78740,78440
"YDL130W-A",39200,49380,39760,45900,49180,47120,46240,51300,55360,63000,42920,57500
"YDL130W",415880,491680,428000,455140,462800,471060,505980,549780,512980,566000,535280,473600
"YDL129W",5940,6120,5380,5860,7120,5060,5800,6460,5820,5920,6320,5180
"YDL128W",111460,124260,99620,107120,107360,96880,103400,100560,107360,107960,108900,88220
"YDL127W",13680,15440,13520,13740,16740,13440,9000,7760,9460,9980,8080,8600
"YDL126C",555720,586980,503720,520080,519040,483540,514540,470840,480800,547540,480800,456000
"YDL125C",175240,206620,177360,203700,205380,214120,164280,174080,172880,188540,167560,164820
"YDL124W",140320,150780,141480,146920,149640,147280,314220,290900,302880,352960,294140,307360
"YDL123W",27520,29480,26300,28480,28380,28620,20420,19240,20060,21160,22720,21460
"YDL122W",34780,34920,30940,31200,30920,31160,25900,24720,26840,28320,25320,23840
"YDL121C",37700,43220,38520,46040,41540,45520,29080,27060,29860,33520,27520,28940
"YDL120W",30140,34560,31480,33760,31960,33380,32940,30180,29540,34020,25260,29840
"YDL119C",11520,14780,13700,13400,12280,13420,9440,9000,10200,10500,8800,9680
"YDL118W",1580,1660,1560,1440,1220,1200,600,780,760,800,780,880
"YDL117W",37100,37440,34580,34840,33040,28720,21800,19560,21580,24440,18620,18560
"YDL116W",41520,39380,34700,38240,37660,35320,24780,22540,24460,27200,21780,22960
"YDL115C",20220,17740,21360,21600,19460,17760,15680,17060,18060,18260,12380,15820
"YDL114W-A",200,200,200,200,180,200,200,220,200,200,200,200
"YDL114W",560,420,600,620,680,560,620,440,500,360,280,340
"YDL113C",38420,39100,38720,34960,36320,33480,31220,32400,31480,37560,27140,28880
"YDL112W",16380,17400,14600,14580,13560,13780,13580,10440,9280,11020,9800,10480
"YDL111C",23980,26120,23900,26080,25080,23320,18700,17180,17160,21740,17300,17320
"YDL110C",62960,70620,67700,72580,77080,71240,74300,80620,88920,97660,61840,88740
"YDL109C",9640,9740,9500,9860,9940,9160,6120,7300,6980,7160,7240,6600
"YDL108W",15380,17320,15280,16420,15560,17820,13240,12760,12080,14620,11380,13600
"YDL107W",9640,10080,10060,10720,10140,9420,8540,9520,8880,10920,7020,9200
"YDL106C",26320,29920,28660,26620,26280,23740,22140,20900,20800,22440,19920,18280
"YDL105W",4900,6340,7460,6100,7000,5600,4500,3840,4100,4300,3140,3820
"YDL104C",8740,9520,9280,8840,10000,8060,7160,7220,7180,8600,7920,6680
"YDL103C",41320,43060,36760,41240,40880,40420,31320,30380,32360,34140,28340,30140
"YDL102W",15400,16720,14240,15540,14040,12600,10000,10880,10020,11080,10160,8480
"YDL101C",10540,12020,8580,10940,10180,10480,7220,7120,7900,8920,6020,8800
"YDL100C",176840,199640,172500,187060,185240,176900,147020,131160,136640,157120,129220,135660
"YDL099W",23200,25820,23840,25280,25060,24100,17160,20260,22600,23320,13120,22700
"YDL098C",6480,6200,6960,7380,6340,7340,4160,4540,3860,3960,2780,4260
"YDL097C",139920,145060,137340,142880,147280,137620,115400,108500,105000,123000,102020,110660
"YDL096C",200,200,220,200,200,200,200,180,180,200,200,220
"YDL095W",112920,124560,101480,104580,100100,100940,105020,103960,99580,111240,97720,83520
"YDL094C",460,300,500,380,480,380,500,280,420,480,500,460
"YDL093W",30660,32960,27680,30080,29500,25160,22900,22840,24220,24480,22660,19320
"YDL092W",26900,32780,30340,32700,31500,30360,27220,31400,29100,34060,23040,30280
"YDL091C",37280,38740,37640,36720,37120,35300,33560,32620,34120,39400,31500,35120
"YDL090C",31880,33380,33100,32840,35680,30740,19920,19880,19400,21660,20220,18960
"YDL089W",22980,25360,22900,22520,25040,20300,25220,25320,27480,29900,24240,25940
"YDL088C",30440,31440,29420,29580,31860,28440,28140,27600,25420,29660,24180,24960
"YDL087C",15240,17000,16020,15420,16080,15180,10020,11020,8620,10480,9780,9640
"YDL086W",27340,32600,27020,29340,33540,29720,23000,23800,25240,29560,25220,23380
"YDL086C-A",200,200,200,200,200,200,180,200,200,200,180,200
"YDL085C-A",14280,16600,14760,16340,15300,15200,12720,11760,13020,12900,11220,12200
"YDL085W",18220,18200,18100,18580,19320,17700,17440,17000,20120,21600,17020,16140
"YDL084W",256240,286700,248500,270280,250140,247940,261920,246200,268840,289820,232260,249380
"YDL083C",339520,423000,371420,413860,412520,432020,510780,474520,467160,526160,486740,482380
"YDL082W",274540,311140,291100,310340,297980,302100,340320,336440,332360,362600,319460,306260
"YDL081C",515460,566060,514260,576560,522240,548920,656480,689180,677120,721580,704100,652100
"YDL080C",31020,34720,31340,30580,32120,28840,23360,22140,20780,25660,20820,22680
"YDL079C",43220,44400,42460,43680,44700,39640,96740,102300,104040,115460,95580,90120
"YDL078C",147900,165400,147000,156640,164340,150780,137820,136760,149580,163980,137580,150100
"YDL077C",21860,22760,20700,22180,19920,18640,15300,16660,14240,16120,14280,13280
"YDL076C",34140,38280,33000,38300,39960,38180,30160,29700,31520,36400,30260,29620
"YDL075W",297000,352680,322560,340460,349660,352860,407920,441100,447460,490440,365960,413720
"snR63",6280,9100,6400,7140,8820,7800,6880,7360,8600,7860,7580,7000
"YDL074C",31620,30720,29020,31160,29620,29340,19540,20260,18180,23160,16540,19560
"YDL073W",32220,37640,30140,35880,34240,33300,21320,20640,22860,23660,21180,21080
"YDL072C",311540,362600,320780,341140,362600,343080,298240,310680,306800,349360,314660,289920
"YDL071C",2140,1960,2060,2040,2480,2160,1500,1440,1640,1540,1680,1420
"YDL070W",47400,50220,47460,50440,50060,42400,54680,62820,59960,67140,50840,55220
"YDL069C",2400,3440,3360,3580,3300,3100,2320,2760,2520,3140,2200,2900
"YDL068W",480,320,380,400,680,580,360,380,440,440,300,380
"YDL067C",76140,88920,75640,81800,85900,89120,67420,70740,76320,79880,66840,72720
"YDL066W",62640,70860,59040,62620,58520,56640,66600,58480,63320,69480,58720,59500
"YDL065C",17080,18880,15780,18000,18160,15460,10440,13460,12120,15200,8740,14060
"YDL064W",30760,36620,31960,37000,34400,37400,32120,29380,30600,35660,30600,34360
"YDL063C",4980,5520,5120,4360,4560,4700,3140,3000,3380,2700,2940,2280
"YDL062W",240,200,240,200,200,240,240,200,200,200,220,220
"YDL061C",315160,376000,330240,368500,382480,409520,460080,484820,469240,513200,500420,460960
"YDL060W",11020,12940,12380,11600,10720,9900,9960,10280,8960,10040,8400,8000
"YDL059C",7560,7800,8860,8560,8200,7960,5240,4980,5920,4280,4920,5180
"YDL058W",24360,25320,21340,22520,23100,22380,14920,15880,14760,16580,13960,14160
"YDL057W",15040,16660,15400,14980,16760,16260,10100,9820,9940,11780,9700,10660
"YDL056W",20980,19920,17280,18300,17580,16180,13580,12900,13340,14440,10800,13560
"YDL055C",607120,693900,598980,639120,598380,592420,813660,761680,826080,863740,722660,710940
"tK(UUU)D",400,500,320,440,560,400,720,1300,940,1200,880,780
"YDL054C",62360,74040,57820,64060,68780,63640,48060,45700,53760,53620,47940,41720
"YDL053C",25380,28540,25700,26480,26980,25740,23380,22440,24960,25480,22760,22400
"YDL052C",57740,66740,60420,67140,62460,64700,62300,66760,66360,69980,62400,64240
"YDL051W",28000,34080,32920,31540,33920,32380,31420,32080,31540,33440,29440,27760
"YDL050C",200,200,240,260,220,240,220,220,260,260,340,220
"YDL049C",12200,14080,10580,12040,11660,11380,6160,6280,6300,5640,5040,4940
"YDL048C",65620,63800,65680,62580,65120,60820,65780,73120,57900,68200,67720,48800
"YDL047W",77400,82580,76360,76500,80680,75300,45080,50780,48500,54860,48460,47840
"YDL046W",281280,329160,273680,303740,334640,327480,295640,284180,312900,334400,306320,298520
"YDL045W-A",18660,20780,18880,20980,20440,22900,16940,16360,17860,20160,14880,18400
"YDL045C",34960,38940,34700,38880,39380,37160,29660,27040,32060,35960,26740,27400
"YDL044C",8860,9240,7840,8420,9560,8240,5440,5740,5800,5820,4640,6360
"YDL043C",8860,8800,10080,9860,8000,8740,6760,6600,7420,8060,6300,8420
"YDL042C",10960,10280,9700,10280,9260,8780,7020,7800,8420,8860,8000,8000
"YDL041W",220,200,220,220,200,240,200,200,220,200,200,220
"YDL040C",75920,75560,69820,69920,68160,63800,65980,58800,57160,61700,56560,52460
"YDL039C",18920,16740,18480,15380,18440,14920,19800,20600,15080,18960,16020,12280
"YDL037C",4760,4480,4620,4040,4960,4240,7440,6940,4680,5800,5920,4280
"YDL036C",15220,16160,14360,14600,14600,14300,6220,7440,5920,7420,5600,6560
"YDL035C",47620,47840,44600,42100,45320,41020,30840,33260,32160,38020,29960,26580
"YDL034W",560,800,860,340,360,460,600,440,440,500,380,380
"YDL033C",6300,7040,6500,6720,6420,6000,5620,6280,5280,6640,5100,5240
"YDL032W",220,240,200,200,220,220,200,200,200,200,220,200
"YDL031W",11320,12520,11160,11420,11560,11480,7760,8240,8540,9820,6980,6920
"YDL030W",13040,15200,14800,15200,14580,15060,9020,9740,8640,11300,8720,8460
"YDL029W",190680,223280,192160,202700,212460,206240,173920,162560,170820,200160,165100,178260
"YDL028C",17920,15480,14440,16500,16060,15080,11760,10040,9960,13140,9940,11240
"YDL027C",39280,45520,37820,41500,42940,37640,39440,38060,40100,45480,36300,38360
"YDL026W",240,260,280,240,340,280,300,260,280,240,360,260
"YDL025C",52340,52440,45980,48900,47320,44960,49600,48020,46880,53340,48760,41280
"YDL025W-A",200,180,200,220,200,200,220,200,200,200,200,200
"YDL024C",6460,6140,6140,6180,7240,5280,2880,3880,3120,4540,3500,3660
"YDL022C-A",300,380,280,360,480,220,280,340,280,340,400,400
"tA(AGC)D",200,200,260,200,180,200,200,200,200,200,200,240
"YDL023C",1000,580,900,1060,900,1020,420,280,420,400,440,320
"YDL022W",108740,109280,109380,109420,111660,106340,318060,324140,310280,345360,310360,302640
"YDL021W",22060,21620,25120,24400,23920,23220,16140,16500,18160,19260,13860,15900
"YDL020C",46200,49700,48820,51980,50740,43220,40760,43660,43780,51360,41160,41580
"YDL019C",58480,57660,53780,50080,48900,47000,69320,67820,66220,72380,64920,58440
"YDL018C",20140,24920,20340,24360,22140,24640,19480,18700,21600,22620,20000,20480
"YDL017W",18020,18660,18680,16600,18320,15460,10100,10180,10800,12080,8980,9940
"YDL016C",8160,9400,8460,8480,8160,8720,10240,10280,10280,10860,9760,9000
"YDL015C",205200,235340,206300,211300,213320,219100,249520,246000,252140,264160,255200,226440
"YDL014W",81460,95080,80160,93140,82640,86700,115060,120700,110040,113720,116540,107640
"YDL013W",26120,27900,26920,26340,26300,23720,16060,17480,15640,19080,14960,16220
"YDL012C",33120,37120,37280,36700,38260,37700,29500,31360,29220,31640,28900,27720
"YDL011C",220,260,220,220,200,180,200,220,200,200,260,220
"YDL010W",7140,8940,7540,9220,7720,8080,5000,5120,4940,5360,4360,4460
"YDL009C",2700,2840,2480,3140,3020,2520,1440,1740,1580,1860,1340,1580
"YDL008W",15020,16000,16820,18020,18260,16260,14000,12840,13980,15440,11860,12960
"tT(AGU)D",220,220,280,200,200,200,240,200,200,240,240,220
"YDL007C-A",220,240,220,260,300,200,200,220,200,260,200,200
"tS(AGA)D1",200,200,180,200,200,200,220,200,200,200,180,200
"YDL007W",172280,184240,162080,176300,176940,162980,125120,125020,129820,147320,108680,130820
"YDL006W",13220,15200,16600,17800,16800,16000,13560,13300,13480,15960,11860,14020
"YDL005C",27940,31780,25580,29800,32420,26280,21160,23000,24220,26420,17860,22980
"YDL004W",87020,99700,91180,99100,100060,98840,87020,82580,96080,108300,77780,98960
"YDL003W",11000,16440,11220,12080,12720,13080,5280,5220,6140,7020,4240,4980
"YDL002C",18640,19360,20320,21100,20480,19860,13620,14960,13400,18700,10740,14240
"YDL001W",11180,14860,12440,14080,13740,13400,6860,6720,6580,9040,7220,7200
"YDR001C",118960,114180,109060,106600,103520,101340,186140,175680,180440,201100,173860,170780
"YDR002W",154940,176680,158860,176520,168680,169120,147720,158040,158720,175020,125900,146920
"YDR003W",40240,49000,42980,45800,48060,44100,40180,38720,40100,44920,37380,38960
"YDR003W-A",11220,13140,11260,11500,13240,11840,9360,10480,10860,10680,8660,10420
"YDR004W",24880,28640,24800,29360,28660,27400,18580,18860,17560,21640,18500,17340
"YDR005C",36840,39560,34400,38520,39240,38000,36500,39020,41920,50600,33600,40580
"YDR006C",51820,49680,48840,47780,44940,43160,31000,33240,30100,34040,31180,25640
"YDR007W",22340,28640,24700,28620,28340,27640,19280,17440,19880,22220,18200,18520
"YDR008C",260,280,200,300,200,220,380,260,220,280,240,220
"YDR009W",17120,17520,16740,17800,18420,16000,9020,6860,9260,9900,8600,8340
"YDR010C",3800,4040,3440,4000,3860,3980,1520,1220,1180,1460,900,1200
"YDR011W",74140,78000,66500,70160,65360,60340,86760,85560,85500,94680,80680,72080
"YDR012W",8e+05,857160,758240,793900,770980,776940,933340,935760,842600,951940,982440,744280
"YDR013W",9960,11720,10480,13160,11120,11240,7380,6640,7660,9420,7000,7660
"YDR014W",8320,9100,7900,8280,8580,7860,4680,5200,5060,6740,4580,4460
"YDR014W-A",960,820,700,660,740,820,480,540,520,440,680,500
"YDR015C",200,220,200,200,180,220,220,220,220,200,200,180
"YDR016C",14280,17560,17180,20640,18480,18880,16800,16160,18620,20020,14940,19140
"YDR017C",34260,34440,32580,31940,30400,29980,25740,25160,25960,27600,22060,23900
"YDR018C",21580,23280,20800,23380,24820,22760,12380,13200,14020,15940,13320,12760
"YDR019C",14800,17360,14520,15480,17500,16260,35840,27720,38500,36240,27300,43960
"YDR020C",6320,8120,6220,7480,7600,6280,3900,4060,4340,4740,4900,4200
"YDR021W",1920,2420,2440,2040,1620,1720,920,1040,1120,1180,820,880
"YDR022C",13340,14300,14600,15240,16520,15520,8340,6520,8280,9080,6280,8400
"tV(UAC)D",340,240,220,340,280,240,300,460,300,320,380,320
"YDR023W",228960,259380,227520,236180,233480,231660,246200,235820,244320,271980,221940,224880
"YDR024W",660,820,800,940,940,900,920,920,880,1100,920,860
"YDR025W",311860,377260,335720,350020,373000,364460,415400,394840,383380,424000,401440,397200
"YDR026C",14840,15340,15040,16280,15740,14400,8420,8860,8560,10580,6740,8340
"YDR027C",34360,32500,32940,31580,33000,27620,24940,22680,24820,29420,23280,23220
"YDR028C",74760,65240,64540,67940,59100,59700,54100,54340,55180,60400,49860,49800
"YDR029W",4300,4800,3840,4360,3580,3460,3880,3840,4060,4440,3760,3980
"YDR030C",7000,6740,6800,7280,7300,5720,6900,7060,6380,7780,6520,5680
"YDR031W",8400,9320,10200,11780,11420,10100,9920,8780,10200,11840,8940,10860
"YDR032C",219420,263820,217340,244540,253200,256100,210140,213860,238240,253240,214300,216240
"YDR033W",67200,78720,68280,69360,71040,68340,796720,804740,768400,826680,780480,620260
"YDR034C",30100,32240,29080,31860,29480,25900,21920,22380,20540,24700,21180,19220
"YDR034C-D",16260,15540,14540,15320,14460,13500,24440,27060,21780,27040,22000,20820
"YDR034C-C",200,200,200,200,200,200,200,200,200,220,200,180
"tL(UAA)D",200,220,200,200,200,220,200,180,200,220,220,220
"YDR034C-A",520,480,440,660,660,520,580,540,700,400,420,480
"tQ(UUG)D1",200,220,200,200,180,180,200,200,240,220,220,220
"YDR034W-B",8580,8540,7860,8140,8600,8400,10780,12480,13920,14400,12820,12540
"YDR035W",161560,184140,165320,170480,163460,155840,156860,148680,149860,169360,143840,144780
"YDR036C",29720,29220,27680,28860,30160,27500,26520,24680,26140,29920,25560,23520
"YDR037W",346180,378900,328440,354280,316720,324120,356460,324700,325540,350960,296480,302720
"YDR038C",35100,35180,32400,30740,31400,28560,34820,35020,33020,36160,33900,27160
"YDR039C",41120,41440,37700,39720,34840,32980,44520,41480,38920,45800,40300,35560
"YDR040C",38420,37940,35300,37180,33880,31800,41340,41620,39880,43220,39660,34000
"YDR041W",34400,40320,37740,39920,38680,39900,29300,30840,34220,38460,27280,31340
"YDR042C",1580,1860,1900,1400,2060,2140,940,880,1100,1420,1080,1040
"snR47",1560,1940,1440,1780,1720,2200,1460,1600,1940,2100,1500,2060
"YDR043C",9260,10420,10060,10140,9900,9280,10380,12340,10900,11660,9640,9220
"YDR044W",57000,62860,54080,56760,56700,55360,77360,69580,71740,75900,64580,67580
"YDR045C",10960,13760,12580,12540,12500,12840,8680,8480,9040,10680,8260,8740
"YDR046C",77340,88980,77720,81000,84560,74140,89600,91820,93240,97500,99220,76260
"YDR047W",71580,82980,72600,72440,77060,72580,54140,52540,54740,61120,55240,51060
"YDR048C",300,260,300,220,340,260,260,400,220,300,260,280
"YDR049W",15560,15700,14620,16000,14680,15000,8140,8140,9220,11120,7240,9420
"YDR050C",2550360,3002260,2628260,2870140,2842720,2889960,2649240,2664780,2693220,3070140,2583420,2649700
"YDR051C",22240,24300,23060,25340,21060,23020,15320,15100,16720,17140,12640,15000
"YDR052C",31240,29780,27320,29280,28920,26740,13720,16640,15120,16100,13620,15660
"YDR053W",580,620,760,680,840,580,540,380,420,540,520,580
