"","A.t1_rep4","A.t2_rep4","A.t3_rep4","A.t4_rep4","A.t5_rep4","A.t6_rep4","B.t1_rep4","B.t2_rep4","B.t3_rep4","B.t4_rep4","B.t5_rep4","B.t6_rep4"
"YDL248W",50240,56340,49820,51160,55540,49620,49120,53460,51000,58340,56800,46300
"YDL247W-A",580,360,660,540,620,660,960,880,960,800,700,680
"YDL247W",12800,12920,11840,11160,12620,10440,8120,7500,7840,8840,7500,6560
"YDL246C",8320,8620,8180,8560,9380,8500,5620,6540,5420,7680,4980,5860
"YDL245C",9040,8140,8880,8420,8440,7600,6780,6840,5660,7100,7000,6260
"YDL244W",9220,10460,9820,10060,9760,9820,2960,3700,3040,3940,2620,3300
"YDL243C",15280,15980,16520,17180,17200,15820,12140,11640,11440,15900,13000,13520
"YDL242W",3760,4920,4020,4580,5640,3940,3740,3440,3280,4420,4220,4160
"YDL241W",4320,6020,4500,5820,6160,5180,7280,9000,9060,10880,8140,8000
"YDL240C-A",280,320,340,340,320,200,300,220,260,200,260,300
"YDL240W",18800,19360,17780,18640,18540,16680,15520,12020,15420,15560,12660,13280
"YDL239C",5440,5500,4560,5260,5020,4480,7060,7060,8680,8860,6920,6920
"YDL238C",24780,28480,24500,24980,26840,23700,27520,29060,28600,35620,26860,27200
"YDL237W",80340,85640,75460,78740,85280,81680,73000,67520,73060,82380,73140,68920
"YDL236W",69200,81960,75080,82240,80300,79080,66320,64380,64900,72640,66120,63960
"YDL235C",39020,47360,40940,43140,45360,44020,25500,24720,25720,31740,22300,26700
"YDL234C",86760,83300,87360,84140,80880,73620,87340,94480,77780,99200,83700,72460
"YDL233W",18680,18840,21960,21880,20400,19080,13140,13320,11880,14040,12500,12020
"YDL232W",29240,36320,30340,34360,35760,37520,27740,28660,29760,31040,28600,28340
"YDL231C",46240,48940,42240,44760,43980,43620,35520,37740,36080,40580,33940,33340
"YDL230W",28220,37640,31040,32940,33640,30060,24500,26040,27300,29780,25740,26260
"YDL229W",497340,537940,456820,490100,471820,462580,780660,716960,697300,764240,734320,642980
"YDL228C",400,400,480,400,420,400,440,700,440,540,580,460
"YDL227C",1580,1560,1500,1340,1460,1040,1680,1380,1300,1660,1000,1840
"YDL226C",73560,85360,72040,78540,79780,78020,62800,59200,57500,69700,57720,59600
"YDL225W",37560,43300,36780,39600,40240,36500,25340,27060,28740,30840,22100,29220
"YDL224C",50080,48380,43780,49260,47680,44500,38920,33860,33700,38140,33140,34520
"YDL223C",22980,21760,20260,19660,20400,18240,18940,21180,20760,22220,19080,18160
"YDL222C",9980,11920,10800,10260,11920,9520,13480,15020,14980,17240,14520,12500
"YDL221W",2720,3020,2960,3320,2700,2780,2180,2060,2040,1900,2000,2040
"YDL220C",14780,15740,13680,13840,15160,14140,10160,9600,8860,11000,9180,8020
"YDL219W",13100,14740,13400,14820,15080,14740,11880,11180,12440,14140,10320,10420
"YDL218W",2780,3060,2060,2740,2340,2860,3520,3680,3940,3660,3440,3200
"YDL217C",26140,33540,28640,30560,30340,30920,18240,18020,17160,20360,18780,18040
"YDL216C",10520,10720,10380,11160,11680,9560,7540,8100,8100,10580,7920,8120
"YDL215C",84220,85740,75340,78620,78760,71900,155480,147440,163700,180720,147260,150240
"YDL214C",23860,24020,23320,21960,23960,19660,9280,9340,8720,8700,8480,8160
"YDL213C",19280,22120,21360,23080,22160,20420,14900,18440,15700,18020,12720,16000
"YDL212W",144640,179000,148360,164540,169120,168280,141720,144300,149620,161700,142440,130960
"YDL211C",6640,6100,5520,6580,6560,7400,3900,3540,3360,3420,3100,3500
"tG(GCC)D1",200,200,200,200,220,220,220,200,220,200,220,180
"YDL210W",7720,9680,9280,9140,9760,8320,5760,6100,6040,6900,6740,5420
"YDL209C",6900,7900,6480,6740,8420,7900,3020,2860,3680,3740,2360,3160
"YDL208W",28060,37020,31960,33660,31740,35240,35260,41780,39520,41000,31400,35980
"YDL207W",27780,31200,28620,28200,26580,25600,18900,20540,16680,20880,16660,17160
"YDL206W",31660,33600,34260,31960,31500,27720,35240,36200,34900,36460,36080,27220
"YDL205C",29800,32380,28720,29340,28420,29560,28160,27800,32060,31720,29400,29180
"YDL204W",19180,19000,18700,16200,18820,16080,177680,170860,188440,202840,173960,160940
"YDL203C",22300,24040,19700,21760,22820,18360,16740,15880,15560,17700,15040,13380
"YDL202W",18680,22480,19240,20540,19680,18420,15360,14820,15540,18320,13980,17180
"YDL201W",11100,13780,11920,11520,12000,12800,11900,13880,12160,13860,11600,12680
"YDL200C",8840,8440,8320,9420,9180,9820,6940,6120,7740,8080,6220,7620
"YDL199C",25900,26460,25320,25160,27760,22120,20800,20460,19540,22120,20060,16980
"YDL198C",56820,74880,52200,66000,67700,66700,97580,95940,104340,113360,99760,100620
"YDL197C",28920,27760,26840,28400,29220,26860,19580,19420,18480,23300,18480,17720
"YDL196W",1760,1560,1840,1420,1760,940,1400,1440,1200,1520,1140,1280
"YDL195W",159180,147200,131480,137560,129460,127060,135040,123100,114600,131020,120080,108540
"YDL194W",45140,46400,43940,43180,44860,39700,37080,38120,41800,43440,36320,35640
"YDL193W",31640,36340,32840,34480,34740,33440,38980,34580,34580,39920,35960,33820
"YDL192W",189140,237200,201280,239700,228440,234300,232200,226820,244640,269800,212980,238060
"YDL191W",270320,308540,283800,303900,316100,323240,314240,320880,328280,376320,297460,330640
"YDL190C",73260,75220,63940,67740,68720,63880,63140,60960,60900,71820,55900,58760
"YDL189W",30460,33980,28440,32580,30860,31320,20680,20140,19480,22080,17820,18740
"YDL188C",55820,61900,51280,53780,54180,53920,59900,58920,60520,65200,55280,54420
"YDL187C",240,200,220,200,220,200,220,220,200,240,200,240
"YDL186W",9100,8660,10560,9000,10960,8560,7540,9120,8280,8140,7680,8080
"YDL185C-A",220,260,240,260,280,300,260,280,300,280,340,300
"YDL185W",343380,365500,307620,323700,321380,312380,363640,345000,343880,383480,348520,296660
"YDL184C",201500,230660,220160,243060,232020,239180,258240,269980,278300,300640,273160,277540
"YDL183C",7900,8680,9500,9080,9740,8100,6200,7700,6040,6540,5840,5460
"YDL182W",67220,69320,64160,65400,70480,62080,81520,77000,71180,80260,74920,76960
"YDL181W",26020,32220,26500,30580,31040,29760,42940,40380,46420,46580,40660,46840
"YDL180W",42220,46920,41000,44000,41340,40680,34420,35140,33920,40840,35820,30040
"YDL179W",10180,10380,10800,10220,9960,10360,10040,9480,11900,11680,9560,11420
"YDL178W",43880,58820,46960,50000,53900,53000,33320,33100,36080,37400,34080,32640
"YDL177C",3880,4920,4660,5700,4920,4860,2300,2660,2840,3820,1760,2980
"YDL176W",15640,15680,14120,15340,15540,13900,7740,8320,8380,9080,7900,7880
"YDL175C",15180,16540,15960,16120,15020,15180,10140,10580,10320,13160,8960,9980
"YDL174C",132760,138300,121340,121280,128700,117080,111040,105940,108840,122940,109040,99620
"YDL173W",21780,27880,21400,24680,26120,23760,10220,13540,12180,15060,10700,14040
"YDL172C",200,200,220,180,180,180,200,180,200,200,220,200
"YDL171C",72300,72300,60940,65020,62580,57620,55080,53920,52860,58620,51960,41180
"YDL170W",25300,28980,23820,28100,27600,24520,17920,17260,17760,21120,19880,16920
"YDL169C",16980,20160,19940,20560,20440,18440,10940,14520,13440,15480,11760,13560
"YDL168W",52000,60140,50500,54920,55600,56040,44400,40420,41720,50360,45320,43260
